university_id,semester_group,number_of_students,number_of_managers,teaching_material_utilization,teaching_facility_coverage,teaching_resource_investment,personnel_management_input,management_equipment_input,reward_punishment_innovation,teaching_innovation_frequency,management_mode_innovation,educational_management_activity,building_density,green_space_ratio,surface_temperature,management_efficiency,efficiency_category
U2,semester_2,9969.625308423863,187.4265480567446,69.72595339971984,67.98431711089925,19.042332981988416,3.492513215605842,4.799816888113924,4.2693025369727895,3.333302208736347,5.493978071303777,5.005749111127657,0.3546770112606351,24.015290472055497,29.32378666596,72.0624642212648,low
U5,semester_1,12091.062237381544,152.1890172012529,65.15434248361116,70.74214558440401,16.958818601582458,3.655268904551364,4.370257538085286,3.774933502433747,5.940794165596522,3.2561118749215905,6.9481227445680505,0.40717855935470426,25.681968140611637,30.00479100163716,68.37108341961955,very_low
U1,semester_1,10092.206799602456,182.8840636101015,76.0250648301705,64.56660356734186,15.271519132222597,4.390754833720944,4.639452999617982,7.593712119270948,4.620486989849629,4.2214132501284825,6.033733964964499,0.4045491909046512,29.19776244860035,26.61883210484409,75.90093600735626,high
U5,semester_2,13173.228558634106,194.44862564614422,69.7221982026942,54.49262389171999,11.591691452116635,2.961071445619775,4.701853449523081,5.103009461629751,6.589077028088763,4.803032625287269,8.0976786926959,0.5082896804179865,19.109633606469213,31.71835992065869,71.65247814887243,low
U1,semester_2,13456.728151085645,186.99747823061486,76.34854035862091,69.29125911617949,14.49105248530783,3.546473120742439,4.768519168027635,6.233356677235301,8.813173319379848,4.33375438346622,7.304760665484338,0.30783620741062434,21.398760959590035,28.884436275832215,68.66437838929863,very_low
U3,semester_2,14800.071817729564,198.0531534603455,86.71431900552612,64.80583449439807,19.390346937630383,3.4265454402013162,6.572592759628209,7.686076261225051,4.737922537110808,4.089352634593274,9.506487126047901,0.4774754140312486,22.46946355194097,30.53864669597884,75.87195040071478,medium
U6,semester_2,9554.459941747864,177.36603243082396,63.07353449570548,66.11923335216157,11.318440483086194,3.282541127188111,4.773548859520584,6.778837339106637,3.99934124650518,3.7326577427294905,6.789720945750978,0.5245367437605759,18.0,29.613345355708915,66.61009290563594,very_low
U6,semester_2,8845.238357667762,163.31315241827957,66.32622734765681,61.964166796902425,13.438595525272481,2.557127377208137,5.397204212760698,3.6330617125960574,4.873471416310852,4.81214134326069,6.403923651647611,0.3855781192060714,19.319695163435,29.644285123397424,72.37191673680348,low
U4,semester_2,18152.686742141483,229.21932068551348,68.61367283159824,71.09183358514306,16.970332248411964,4.300510064345887,6.5088241528538475,7.5359118353812296,5.580638724345079,5.54969278657916,6.995596918759822,0.34184033953126386,18.0,27.21878859369944,73.55839091528077,medium
U2,semester_1,9030.164807008445,150.28673188832758,69.46076192861963,70.82227925291214,14.423845919969306,2.1,4.292935217564915,5.504231685489659,8.57680680441716,2.3020123436262425,5.9647930303290515,0.5059158326213614,23.98291663165948,31.493256401959737,68.58634953441174,very_low
U1,semester_1,9458.636801372539,191.3355876751024,73.12230145390326,78.46833020582957,16.339236990798376,4.216686001001289,4.532179279009687,4.998392017177397,4.571663412404761,3.675635318126953,11.575019182186843,0.37801974272184086,29.66528838042516,27.7553421171239,72.75289772030385,medium
U2,semester_1,13082.979043236643,203.45266010484647,72.9498766102241,68.84864517396032,13.883069999180007,2.8290599315180573,3.784860489835242,3.51613494552557,5.69527908946395,3.7443859298038538,5.876034846854128,0.25,19.254274658120043,30.901587848746825,65.77533027422433,very_low
U1,semester_2,15197.289857774893,257.40628207749734,69.71236523468674,76.73865546977046,16.577540704548777,3.592993064228101,5.231096816708665,6.681653354808326,6.238707768563876,4.008372864921491,5.227176276165614,0.3382966239404676,29.36146075598673,28.52387829081087,78.74938539021612,high
